,Q1,Q2,Q3,Q4,Q5,Q6
13016,55-59,Man,Other,Bachelor’s degree,Data Scientist,20+ years
13017,45-49,Man,Austria,Professional doctorate,Research Scientist,10-20 years
13018,22-24,Man,Germany,Master’s degree,Student,< 1 years
13019,30-34,Man,Spain,Master’s degree,Software Engineer,1-3 years
13020,30-34,Woman,Russia,Master’s degree,Product Manager,10-20 years
13021,45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Data Analyst,5-10 years
13022,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13023,30-34,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Analyst,< 1 years
13024,40-44,Man,Poland,Master’s degree,Data Scientist,1-3 years
13025,18-21,Man,India,I prefer not to answer,Student,< 1 years
13026,22-24,Man,Indonesia,Bachelor’s degree,Currently not employed,< 1 years
13027,45-49,Man,Argentina,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years
13028,18-21,Man,Canada,Bachelor’s degree,Student,1-3 years
13029,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13030,45-49,Woman,France,Master’s degree,Business Analyst,10-20 years
13031,25-29,Prefer not to say,Ghana,Bachelor’s degree,Data Engineer,1-3 years
13032,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
13033,40-44,Man,Romania,Doctoral degree,Machine Learning Engineer,20+ years
13034,25-29,Man,United States of America,Master’s degree,Data Scientist,5-10 years
13035,35-39,Man,Czech Republic,Master’s degree,Software Engineer,10-20 years
13036,18-21,Man,Indonesia,Master’s degree,Student,< 1 years
13037,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,10-20 years
13038,25-29,Man,Germany,Bachelor’s degree,Statistician,< 1 years
13039,25-29,Man,Brazil,Bachelor’s degree,Currently not employed,1-3 years
13040,45-49,Woman,Sweden,Professional doctorate,Data Analyst,5-10 years
13041,70+,Man,United States of America,Doctoral degree,Software Engineer,20+ years
13042,25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years
13043,55-59,Man,Brazil,Some college/university study without earning a bachelor’s degree,Other,1-3 years
13044,50-54,Man,Spain,Doctoral degree,Research Scientist,20+ years
13045,35-39,Man,India,I prefer not to answer,Data Engineer,10-20 years
13046,18-21,Man,India,Bachelor’s degree,Software Engineer,1-3 years
13047,25-29,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13048,30-34,Man,Netherlands,Master’s degree,Data Scientist,5-10 years
13049,50-54,Woman,United States of America,Bachelor’s degree,Other,< 1 years
13050,22-24,Prefer to self-describe,China,Master’s degree,Student,3-5 years
13051,22-24,Man,Egypt,Bachelor’s degree,Student,< 1 years
13052,25-29,Man,India,Bachelor’s degree,Software Engineer,5-10 years
13053,22-24,Woman,Tunisia,I prefer not to answer,Software Engineer,1-3 years
13054,30-34,Man,Germany,Master’s degree,Data Scientist,10-20 years
13055,22-24,Man,India,Bachelor’s degree,Student,1-3 years
13056,55-59,Man,Japan,Doctoral degree,Research Scientist,20+ years
13057,45-49,Man,Russia,Doctoral degree,Business Analyst,1-3 years
13058,45-49,Woman,United States of America,Master’s degree,Research Scientist,3-5 years
13059,30-34,Man,China,Some college/university study without earning a bachelor’s degree,Data Scientist,3-5 years
13060,18-21,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
13061,35-39,Woman,Brazil,Doctoral degree,Program/Project Manager,I have never written code
13062,22-24,Woman,Viet Nam,Bachelor’s degree,Currently not employed,< 1 years
13063,18-21,Man,Iraq,Some college/university study without earning a bachelor’s degree,Student,< 1 years
13064,22-24,Woman,Russia,Bachelor’s degree,Business Analyst,I have never written code
13065,30-34,Man,Ukraine,Master’s degree,Data Scientist,3-5 years
13066,25-29,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-3 years
13067,35-39,Man,China,Bachelor’s degree,Other,< 1 years
13068,35-39,Man,Iraq,Master’s degree,Research Scientist,1-3 years
13069,40-44,Man,Norway,Doctoral degree,Data Scientist,10-20 years
13070,18-21,Man,Japan,No formal education past high school,Student,1-3 years
13071,25-29,Man,Other,Master’s degree,Data Analyst,I have never written code
13072,45-49,Man,Italy,No formal education past high school,Software Engineer,20+ years
13073,35-39,Man,Egypt,Bachelor’s degree,Currently not employed,1-3 years
13074,25-29,Man,United States of America,Bachelor’s degree,Statistician,I have never written code
13075,25-29,Man,Japan,Master’s degree,Software Engineer,5-10 years
13076,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13077,22-24,Prefer to self-describe,Turkey,Master’s degree,Other,< 1 years
13078,22-24,Man,Turkey,Master’s degree,Machine Learning Engineer,I have never written code
13079,30-34,Woman,Nigeria,Master’s degree,Data Analyst,I have never written code
13080,40-44,Man,China,I prefer not to answer,Data Scientist,10-20 years
13081,45-49,Man,United Arab Emirates,Some college/university study without earning a bachelor’s degree,Student,5-10 years
13082,25-29,Man,India,Bachelor’s degree,Data Scientist,< 1 years
13083,60-69,Man,Israel,Doctoral degree,Data Analyst,20+ years
13084,18-21,Man,Nigeria,Bachelor’s degree,Currently not employed,1-3 years
13085,22-24,Man,Nigeria,Master’s degree,Student,< 1 years
13086,25-29,Man,India,Master’s degree,Currently not employed,< 1 years
13087,60-69,Man,United States of America,Master’s degree,Data Analyst,5-10 years
13088,25-29,Man,Turkey,Master’s degree,Data Scientist,3-5 years
13089,25-29,Woman,India,Master’s degree,Currently not employed,5-10 years
13090,18-21,Man,Pakistan,Master’s degree,Student,< 1 years
13091,30-34,Man,Morocco,Master’s degree,Statistician,1-3 years
13092,35-39,Woman,Egypt,Master’s degree,Research Scientist,5-10 years
13093,22-24,Man,Egypt,Some college/university study without earning a bachelor’s degree,Student,3-5 years
13094,50-54,Man,India,Master’s degree,Currently not employed,20+ years
13095,22-24,Man,India,Master’s degree,Data Analyst,< 1 years
13096,25-29,Man,Philippines,Bachelor’s degree,Currently not employed,1-3 years
13097,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Student,< 1 years
13098,35-39,Woman,Ukraine,No formal education past high school,Data Analyst,< 1 years
13099,35-39,Man,China,Master’s degree,Machine Learning Engineer,10-20 years
13100,30-34,Woman,United States of America,Doctoral degree,Data Scientist,5-10 years
13101,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13102,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13103,22-24,Man,Kenya,Bachelor’s degree,Statistician,< 1 years
13104,22-24,Man,India,Master’s degree,Data Analyst,I have never written code
13105,18-21,Woman,Indonesia,Bachelor’s degree,Data Analyst,1-3 years
13106,22-24,Man,India,Bachelor’s degree,Student,1-3 years
13107,25-29,Man,India,Master’s degree,Software Engineer,3-5 years
13108,35-39,Man,Singapore,Bachelor’s degree,Data Engineer,10-20 years
13109,35-39,Man,Poland,Doctoral degree,Data Scientist,5-10 years
13110,22-24,Man,India,Bachelor’s degree,Currently not employed,1-3 years
13111,55-59,Woman,Japan,Doctoral degree,Research Scientist,20+ years
13112,40-44,Man,United States of America,Doctoral degree,Data Scientist,10-20 years
13113,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13114,35-39,Man,Russia,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years
13115,18-21,Woman,India,Bachelor’s degree,Software Engineer,3-5 years
13116,25-29,Woman,India,Doctoral degree,Student,1-3 years
13117,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years
13118,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,< 1 years
13119,30-34,Man,United States of America,Doctoral degree,Research Scientist,5-10 years
13120,30-34,Man,China,Doctoral degree,Machine Learning Engineer,1-3 years
13121,30-34,Man,India,Professional doctorate,Research Scientist,5-10 years
13122,22-24,Woman,India,Bachelor’s degree,Software Engineer,1-3 years
13123,30-34,Woman,United States of America,Master’s degree,Data Analyst,5-10 years
13124,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
13125,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13126,30-34,Man,Brazil,Master’s degree,Research Scientist,5-10 years
13127,22-24,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,3-5 years
13128,22-24,Man,United States of America,Bachelor’s degree,Data Analyst,< 1 years
13129,22-24,Woman,Indonesia,Bachelor’s degree,Currently not employed,< 1 years
13130,40-44,Man,United States of America,Master’s degree,Data Scientist,10-20 years
13131,45-49,Man,India,I prefer not to answer,Program/Project Manager,5-10 years
13132,18-21,Man,Australia,Bachelor’s degree,Student,1-3 years
13133,25-29,Man,India,Master’s degree,Other,I have never written code
13134,25-29,Man,China,Bachelor’s degree,Student,1-3 years
13135,30-34,Man,United States of America,Master’s degree,Data Analyst,5-10 years
13136,40-44,Man,South Africa,Bachelor’s degree,Data Scientist,10-20 years
13137,22-24,Man,Indonesia,Bachelor’s degree,Other,< 1 years
13138,35-39,Man,Italy,Bachelor’s degree,Business Analyst,1-3 years
13139,22-24,Woman,India,Bachelor’s degree,Machine Learning Engineer,1-3 years
13140,25-29,Man,Kenya,Bachelor’s degree,Currently not employed,< 1 years
13141,35-39,Man,Switzerland,Doctoral degree,Data Analyst,5-10 years
13142,55-59,Man,Germany,Master’s degree,Currently not employed,1-3 years
13143,35-39,Woman,United States of America,Doctoral degree,Data Scientist,1-3 years
13144,35-39,Man,Brazil,Master’s degree,Data Scientist,5-10 years
13145,25-29,Man,Algeria,Master’s degree,Statistician,< 1 years
13146,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13147,25-29,Man,United States of America,Bachelor’s degree,Currently not employed,3-5 years
13148,22-24,Woman,China,Master’s degree,Student,3-5 years
13149,18-21,Woman,Other,Bachelor’s degree,Student,1-3 years
13150,25-29,Man,Belgium,Master’s degree,Data Scientist,1-3 years
13151,30-34,Man,Canada,Bachelor’s degree,Software Engineer,5-10 years
13152,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13153,25-29,Woman,India,Bachelor’s degree,Data Scientist,1-3 years
13154,25-29,Man,Japan,Master’s degree,Data Analyst,< 1 years
13155,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13156,60-69,Man,Netherlands,Professional doctorate,Other,20+ years
13157,45-49,Man,Poland,Master’s degree,Currently not employed,< 1 years
13158,35-39,Man,United States of America,Master’s degree,Machine Learning Engineer,20+ years
13159,25-29,Man,Taiwan,Master’s degree,Machine Learning Engineer,1-3 years
13160,25-29,Man,Other,Doctoral degree,Research Scientist,10-20 years
13161,25-29,Man,United States of America,Master’s degree,Product Manager,3-5 years
13162,40-44,Prefer not to say,United States of America,Bachelor’s degree,Data Analyst,3-5 years
13163,22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Other,1-3 years
13164,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13165,35-39,Man,Malaysia,I prefer not to answer,Program/Project Manager,5-10 years
13166,22-24,Man,South Africa,Some college/university study without earning a bachelor’s degree,Currently not employed,1-3 years
13167,25-29,Man,India,Master’s degree,Business Analyst,1-3 years
13168,60-69,Man,United States of America,Bachelor’s degree,Program/Project Manager,20+ years
13169,50-54,Man,United States of America,Bachelor’s degree,Software Engineer,20+ years
13170,25-29,Man,Russia,Doctoral degree,Research Scientist,1-3 years
13171,22-24,Man,India,Bachelor’s degree,Student,3-5 years
13172,22-24,Man,China,Doctoral degree,Student,3-5 years
13173,25-29,Woman,United States of America,Bachelor’s degree,Other,1-3 years
13174,18-21,Man,India,Bachelor’s degree,Machine Learning Engineer,< 1 years
13175,45-49,Man,Other,Doctoral degree,Research Scientist,3-5 years
13176,35-39,Man,Poland,Master’s degree,Data Scientist,5-10 years
13177,25-29,Woman,Japan,Bachelor’s degree,Other,< 1 years
13178,35-39,Woman,Malaysia,Master’s degree,Business Analyst,5-10 years
13179,22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years
13180,22-24,Man,India,Master’s degree,Data Scientist,3-5 years
13181,45-49,Man,South Korea,Master’s degree,Research Scientist,20+ years
13182,30-34,Woman,Taiwan,No formal education past high school,Machine Learning Engineer,5-10 years
13183,25-29,Man,India,Master’s degree,Data Scientist,1-3 years
13184,30-34,Man,China,Doctoral degree,Data Analyst,5-10 years
13185,30-34,Man,United States of America,Doctoral degree,Currently not employed,1-3 years
13186,25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years
13187,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Program/Project Manager,5-10 years
13188,25-29,Woman,Russia,I prefer not to answer,Other,3-5 years
13189,35-39,Man,Israel,I prefer not to answer,Business Analyst,I have never written code
13190,60-69,Man,Japan,Bachelor’s degree,Other,I have never written code
13191,22-24,Man,Other,Master’s degree,Currently not employed,5-10 years
13192,25-29,Man,Pakistan,I prefer not to answer,Currently not employed,1-3 years
13193,18-21,Man,South Korea,No formal education past high school,Data Engineer,3-5 years
13194,35-39,Man,Portugal,Master’s degree,Currently not employed,1-3 years
13195,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years
13196,18-21,Woman,Nigeria,Bachelor’s degree,Student,< 1 years
13197,18-21,Woman,India,Bachelor’s degree,Other,1-3 years
13198,35-39,Man,Other,Master’s degree,Software Engineer,5-10 years
13199,45-49,Man,Brazil,Doctoral degree,Business Analyst,10-20 years
13200,30-34,Man,United States of America,Master’s degree,Data Analyst,3-5 years
13201,22-24,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13202,50-54,Man,Bangladesh,I prefer not to answer,Research Scientist,20+ years
13203,25-29,Man,Russia,Master’s degree,Other,< 1 years
13204,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13205,35-39,Man,Viet Nam,Master’s degree,Product Manager,< 1 years
13206,25-29,Man,Nigeria,Master’s degree,Currently not employed,1-3 years
13207,25-29,Man,Germany,Master’s degree,Student,< 1 years
13208,22-24,Woman,Russia,Bachelor’s degree,Business Analyst,1-3 years
13209,22-24,Man,India,No formal education past high school,Data Scientist,1-3 years
13210,25-29,Woman,Germany,Doctoral degree,Data Scientist,5-10 years
13211,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years
13212,22-24,Woman,Nigeria,Bachelor’s degree,Currently not employed,< 1 years
13213,35-39,Woman,India,Master’s degree,Machine Learning Engineer,5-10 years
13214,25-29,Woman,Kenya,Master’s degree,Other,< 1 years
13215,25-29,Man,Russia,Master’s degree,Other,< 1 years
13216,25-29,Man,India,Master’s degree,Student,5-10 years
13217,25-29,Man,India,Master’s degree,Student,< 1 years
13218,30-34,Man,China,Bachelor’s degree,Data Analyst,I have never written code
13219,25-29,Woman,France,Master’s degree,Data Analyst,1-3 years
13220,22-24,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years
13221,18-21,Man,Sri Lanka,Bachelor’s degree,Machine Learning Engineer,< 1 years
13222,22-24,Woman,India,Bachelor’s degree,Machine Learning Engineer,5-10 years
13223,22-24,Man,India,Master’s degree,Student,5-10 years
13224,25-29,Man,United States of America,Master’s degree,Business Analyst,3-5 years
13225,50-54,Man,Canada,No formal education past high school,Other,20+ years
13226,18-21,Man,India,Bachelor’s degree,Software Engineer,< 1 years
13227,55-59,Man,Pakistan,Bachelor’s degree,Other,I have never written code
13228,55-59,Man,United States of America,Bachelor’s degree,Currently not employed,20+ years
13229,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13230,18-21,Man,India,Bachelor’s degree,Data Scientist,1-3 years
13231,18-21,Man,Viet Nam,Bachelor’s degree,Other,1-3 years
13232,22-24,Man,Denmark,Master’s degree,Currently not employed,1-3 years
13233,35-39,Man,India,Master’s degree,Software Engineer,10-20 years
13234,25-29,Man,Egypt,Bachelor’s degree,Data Analyst,< 1 years
13235,40-44,Man,Greece,Master’s degree,Software Engineer,5-10 years
13236,35-39,Man,Italy,No formal education past high school,Data Scientist,10-20 years
13237,25-29,Woman,United States of America,Master’s degree,Student,10-20 years
13238,60-69,Man,Japan,Master’s degree,Machine Learning Engineer,20+ years
13239,22-24,Man,United States of America,Master’s degree,Student,3-5 years
13240,40-44,Woman,United States of America,Doctoral degree,Research Scientist,10-20 years
13241,30-34,Man,India,Master’s degree,Other,1-3 years
13242,30-34,Man,Brazil,Master’s degree,Data Scientist,3-5 years
13243,35-39,Nonbinary,United States of America,Master’s degree,Other,10-20 years
13244,22-24,Man,India,Master’s degree,Other,1-3 years
13245,45-49,Man,Japan,Bachelor’s degree,Software Engineer,20+ years
13246,30-34,Man,Poland,Master’s degree,Other,< 1 years
13247,22-24,Woman,Pakistan,Bachelor’s degree,Currently not employed,3-5 years
13248,35-39,Man,Nigeria,Master’s degree,Research Scientist,I have never written code
13249,30-34,Woman,United States of America,Master’s degree,Data Scientist,5-10 years
13250,22-24,Woman,India,Master’s degree,Student,3-5 years
13251,30-34,Man,Russia,Master’s degree,Software Engineer,10-20 years
13252,30-34,Man,Egypt,Master’s degree,Data Analyst,< 1 years
13253,35-39,Man,Other,Doctoral degree,Research Scientist,3-5 years
13254,25-29,Prefer not to say,India,Master’s degree,Data Analyst,3-5 years
13255,40-44,Man,Switzerland,Doctoral degree,Research Scientist,10-20 years
13256,30-34,Man,Indonesia,No formal education past high school,Currently not employed,< 1 years
13257,55-59,Man,Turkey,Master’s degree,Machine Learning Engineer,20+ years
13258,22-24,Man,India,Master’s degree,Student,3-5 years
13259,40-44,Man,China,No formal education past high school,Business Analyst,1-3 years
13260,25-29,Man,Morocco,No formal education past high school,Data Scientist,1-3 years
13261,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13262,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13263,35-39,Man,United States of America,Bachelor’s degree,Machine Learning Engineer,5-10 years
13264,30-34,Man,Turkey,Bachelor’s degree,Currently not employed,< 1 years
13265,40-44,Man,Germany,Doctoral degree,Data Scientist,10-20 years
13266,18-21,Man,Sri Lanka,Bachelor’s degree,Student,< 1 years
13267,18-21,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years
13268,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13269,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years
13270,55-59,Man,India,Doctoral degree,Research Scientist,3-5 years
13271,22-24,Man,India,Master’s degree,Student,< 1 years
13272,25-29,Man,India,Master’s degree,Data Analyst,< 1 years
13273,18-21,Man,Pakistan,Some college/university study without earning a bachelor’s degree,Machine Learning Engineer,< 1 years
13274,22-24,Woman,India,Bachelor’s degree,Student,1-3 years
13275,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13276,22-24,Man,India,Master’s degree,Student,3-5 years
13277,22-24,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years
13278,18-21,Man,India,Bachelor’s degree,Other,3-5 years
13279,35-39,Man,Italy,Master’s degree,Other,5-10 years
13280,25-29,Man,Other,Bachelor’s degree,Machine Learning Engineer,1-3 years
13281,18-21,Man,Ukraine,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13282,45-49,Man,Spain,Master’s degree,Data Analyst,5-10 years
13283,25-29,Woman,India,Bachelor’s degree,Data Analyst,3-5 years
13284,45-49,Man,Nigeria,Bachelor’s degree,Other,< 1 years
13285,22-24,Woman,India,Master’s degree,Data Analyst,< 1 years
13286,22-24,Man,Germany,Master’s degree,Student,3-5 years
13287,22-24,Man,China,Master’s degree,Student,3-5 years
13288,50-54,Prefer not to say,Sri Lanka,Master’s degree,Data Scientist,3-5 years
13289,25-29,Man,Tunisia,No formal education past high school,Software Engineer,1-3 years
13290,30-34,Woman,Russia,Master’s degree,Software Engineer,10-20 years
13291,25-29,Woman,India,Master’s degree,Student,< 1 years
13292,30-34,Man,China,Master’s degree,Data Scientist,5-10 years
13293,22-24,Man,Brazil,Bachelor’s degree,Student,3-5 years
13294,30-34,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years
13295,18-21,Man,Ghana,Bachelor’s degree,Student,< 1 years
13296,40-44,Woman,China,Doctoral degree,Data Scientist,5-10 years
13297,40-44,Man,Germany,Doctoral degree,Data Engineer,20+ years
13298,22-24,Man,Other,Bachelor’s degree,Data Scientist,1-3 years
13299,45-49,Man,Japan,Master’s degree,Software Engineer,20+ years
13300,40-44,Woman,South Korea,Doctoral degree,Currently not employed,< 1 years
13301,45-49,Man,Brazil,Bachelor’s degree,Other,< 1 years
13302,25-29,Man,China,Master’s degree,Data Engineer,3-5 years
13303,18-21,Woman,India,Bachelor’s degree,Data Scientist,< 1 years
13304,22-24,Man,China,Master’s degree,Data Analyst,< 1 years
13305,22-24,Man,Indonesia,Master’s degree,Currently not employed,< 1 years
13306,25-29,Man,Brazil,Bachelor’s degree,Business Analyst,3-5 years
13307,18-21,Man,Philippines,I prefer not to answer,Student,< 1 years
13308,25-29,Man,India,Master’s degree,Software Engineer,1-3 years
13309,60-69,Man,Argentina,Master’s degree,Data Analyst,I have never written code
13310,18-21,Man,Brazil,Bachelor’s degree,Data Scientist,< 1 years
13311,22-24,Woman,Other,Bachelor’s degree,Student,3-5 years
13312,18-21,Man,India,Bachelor’s degree,Student,3-5 years
13313,25-29,Woman,"Iran, Islamic Republic of...",Master’s degree,Currently not employed,1-3 years
13314,22-24,Woman,Indonesia,Master’s degree,Data Scientist,1-3 years
13315,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13316,22-24,Man,India,Master’s degree,Student,< 1 years
13317,50-54,Man,United States of America,Master’s degree,Other,I have never written code
13318,50-54,Man,Japan,Bachelor’s degree,Currently not employed,1-3 years
13319,25-29,Man,India,Master’s degree,Data Scientist,< 1 years
13320,25-29,Man,United States of America,Master’s degree,Business Analyst,1-3 years
13321,18-21,Woman,India,Bachelor’s degree,Student,1-3 years
13322,25-29,Woman,Morocco,Doctoral degree,Student,5-10 years
13323,22-24,Man,Other,Master’s degree,Data Scientist,3-5 years
13324,25-29,Man,Japan,Master’s degree,Data Analyst,< 1 years
13325,22-24,Man,Bangladesh,Bachelor’s degree,Student,1-3 years
13326,70+,Man,Australia,Master’s degree,Program/Project Manager,20+ years
13327,22-24,Man,Other,Master’s degree,Research Scientist,1-3 years
13328,30-34,Man,Indonesia,No formal education past high school,Business Analyst,I have never written code
13329,25-29,Man,Taiwan,Some college/university study without earning a bachelor’s degree,Software Engineer,< 1 years
13330,40-44,Man,Portugal,Master’s degree,Data Scientist,20+ years
13331,30-34,Man,India,Master’s degree,Other,5-10 years
13332,18-21,Man,Japan,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13333,22-24,Man,United States of America,Master’s degree,Student,1-3 years
13334,18-21,Man,Saudi Arabia,Bachelor’s degree,Student,1-3 years
13335,25-29,Man,Russia,Master’s degree,Data Scientist,1-3 years
13336,35-39,Man,Japan,Some college/university study without earning a bachelor’s degree,Program/Project Manager,5-10 years
13337,25-29,Woman,India,Master’s degree,Software Engineer,5-10 years
13338,22-24,Man,India,Bachelor’s degree,Data Analyst,< 1 years
13339,18-21,Man,Pakistan,Bachelor’s degree,Student,< 1 years
13340,18-21,Man,India,Bachelor’s degree,Developer Relations/Advocacy,< 1 years
13341,40-44,Man,Pakistan,Master’s degree,Product Manager,10-20 years
13342,22-24,Man,Ecuador,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13343,35-39,Man,Australia,Master’s degree,Data Analyst,< 1 years
13344,22-24,Man,Kenya,Bachelor’s degree,Student,< 1 years
13345,18-21,Man,India,Bachelor’s degree,Student,1-3 years
13346,18-21,Woman,India,Bachelor’s degree,Student,< 1 years
13347,50-54,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,20+ years
13348,18-21,Man,Other,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13349,22-24,Man,India,Bachelor’s degree,Software Engineer,1-3 years
13350,18-21,Man,Viet Nam,Bachelor’s degree,Student,< 1 years
13351,40-44,Man,United States of America,Master’s degree,Other,I have never written code
13352,22-24,Man,Philippines,Master’s degree,Student,3-5 years
13353,25-29,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years
13354,25-29,Man,Viet Nam,Bachelor’s degree,Machine Learning Engineer,1-3 years
13355,40-44,Man,France,Master’s degree,Research Scientist,20+ years
13356,35-39,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,3-5 years
13357,60-69,Man,United States of America,Master’s degree,Software Engineer,20+ years
13358,25-29,Man,India,Master’s degree,Software Engineer,3-5 years
13359,40-44,Man,United States of America,Master’s degree,Statistician,10-20 years
13360,22-24,Man,India,Bachelor’s degree,Software Engineer,3-5 years
13361,25-29,Man,Russia,Master’s degree,Other,1-3 years
13362,30-34,Man,Nigeria,Some college/university study without earning a bachelor’s degree,Student,1-3 years
13363,25-29,Man,Morocco,Master’s degree,Statistician,10-20 years
13364,35-39,Prefer not to say,India,Master’s degree,Other,3-5 years
13365,18-21,Man,India,Master’s degree,Data Scientist,1-3 years
13366,40-44,Man,Japan,Doctoral degree,Data Scientist,< 1 years
13367,22-24,Man,Bangladesh,Bachelor’s degree,Research Scientist,3-5 years
13368,30-34,Man,Kenya,Master’s degree,DBA/Database Engineer,3-5 years
13369,22-24,Man,India,Master’s degree,Student,3-5 years
13370,18-21,Woman,India,Master’s degree,Student,< 1 years
13371,60-69,Man,Peru,Master’s degree,Software Engineer,10-20 years
13372,25-29,Man,Australia,Bachelor’s degree,Student,1-3 years
13373,40-44,Woman,United States of America,Bachelor’s degree,Developer Relations/Advocacy,< 1 years
13374,30-34,Man,France,Master’s degree,Other,1-3 years
13375,35-39,Man,India,Bachelor’s degree,Software Engineer,5-10 years
13376,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13377,40-44,Man,Japan,Master’s degree,Research Scientist,1-3 years
13378,18-21,Man,Peru,Bachelor’s degree,Data Scientist,< 1 years
13379,55-59,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years
13380,22-24,Man,Japan,Master’s degree,Student,< 1 years
13381,18-21,Prefer not to say,Turkey,Bachelor’s degree,Student,1-3 years
13382,30-34,Man,Singapore,Master’s degree,Product Manager,1-3 years
13383,30-34,Prefer not to say,United States of America,I prefer not to answer,Currently not employed,< 1 years
13384,35-39,Man,Colombia,Master’s degree,Data Analyst,1-3 years
13385,40-44,Woman,Mexico,Master’s degree,Data Scientist,I have never written code
13386,35-39,Man,United States of America,Master’s degree,Data Scientist,5-10 years
13387,40-44,Man,Ukraine,Master’s degree,Data Analyst,20+ years
13388,22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years
13389,18-21,Woman,India,Master’s degree,Student,1-3 years
13390,35-39,Man,India,I prefer not to answer,Other,< 1 years
13391,18-21,Nonbinary,Indonesia,Bachelor’s degree,Student,1-3 years
13392,18-21,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Student,< 1 years
13393,25-29,Man,India,Bachelor’s degree,Software Engineer,3-5 years
13394,45-49,Man,India,Doctoral degree,Data Analyst,10-20 years
13395,18-21,Man,India,Bachelor’s degree,Student,< 1 years
13396,25-29,Man,South Korea,Bachelor’s degree,Data Engineer,1-3 years
13397,30-34,Man,Italy,Doctoral degree,Research Scientist,10-20 years
13398,35-39,Man,India,Bachelor’s degree,Software Engineer,10-20 years
13399,35-39,Man,Other,Some college/university study without earning a bachelor’s degree,Software Engineer,5-10 years
13400,35-39,Man,China,Some college/university study without earning a bachelor’s degree,Business Analyst,< 1 years
13401,18-21,Man,Thailand,Bachelor’s degree,Student,3-5 years
13402,22-24,Man,Pakistan,Master’s degree,Student,1-3 years
13403,30-34,Man,India,Bachelor’s degree,Software Engineer,5-10 years
13404,18-21,Man,India,Bachelor’s degree,Data Analyst,3-5 years
13405,22-24,Man,Sri Lanka,Bachelor’s degree,Other,3-5 years
13406,22-24,Man,India,Bachelor’s degree,Data Analyst,3-5 years
13407,50-54,Woman,United States of America,Doctoral degree,Other,1-3 years
13408,22-24,Woman,Romania,Master’s degree,Student,3-5 years
